"","accepted_name","phylo.tip","input_name","name_class","ncbi_id","GenBank_taxonomy","ITS","trnTLF","rbcL","matK","atpB"
"154","Brachypodium_sylvaticum","Brachypodium_sylvaticum","Brachypodium_sylvaticum","scientific name",29664,"Brachypodium_sylvaticum","NA","119553717","57283795","7670640","NA"
"155","Brachypodium_sylvaticum","Brachypodium_sylvaticum","Brachypodium_sylvaticum","scientific name",29664,"Brachypodium_sylvaticum_var__miserum","341872824","NA","NA","NA","NA"
"156","Brassica_repanda","Brassica_repanda","Brassica_repanda","scientific name",308267,"Brassica_repanda_subsp__latisiliqua","388611876","NA","NA","NA","NA"
"157","Brassica_repanda","Brassica_repanda","Brassica_repanda","scientific name",308267,"Brassica_repanda","NA","57638980","NA","NA","NA"
"158","Briza_media","Briza_media","Briza_media","scientific name",281077,"Briza_media","172073122","186972689","557836227","133917563","NA"
"159","Bromopsis_benekenii","Bromopsis_benekenii","Bromus_benekenii","synonym",1155254,"Bromopsis_benekenii","NA","NA","379031774","379038196","NA"
"160","Bromus_erectus","Bromus_erectus","Bromus_erectus","scientific name",29666,"Bromus_erectus","38566382","159146755","557836607","133917483","NA"
"161","Bromus_hordeaceus","Bromus_hordeaceus","Bromus_hordeaceus","scientific name",52147,"Bromus_hordeaceus","695614308","575501507","41056385","744393595","NA"
"162","Bromus_inermis","Bromus_inermis","Bromus_inermis","scientific name",15371,"Bromus_inermis","564586109","55975445","424949904","7670636","110915599"
"163","Bromus_squarrosus","Bromus_squarrosus","Bromus_squarrosus","scientific name",55762,"Bromus_squarrosus","695614313","158634012","NA","744393591","NA"
"164","Bromus_sterilis","Bromus_sterilis","Bromus_sterilis","scientific name",55777,"Bromus_sterilis","695614306","158634006","61378596","315259946","NA"
"165","Bromus_tectorum","Bromus_tectorum","Bromus_tectorum","scientific name",29667,"Bromus_tectorum","564586121","158634005","341872983","564585916","NA"
"166","Bryonia_cretica","Bryonia_cretica","Bryonia_cretica","scientific name",61884,"Bryonia_cretica","156767447","156777538","NA","NA","NA"
"167","Buddleja_davidii","Buddleja_davidii","Buddleja_davidii","scientific name",28540,"Buddleja_davidii","NA","15637286","2597835","335058801","335059290"
"168","Buglossoides_arvensis","Buglossoides_arvensis","Buglossoides_arvensis","scientific name",181181,"Buglossoides_arvensis_subsp__arvensis","717696642","NA","NA","NA","NA"
"169","Buglossoides_arvensis","Buglossoides_arvensis","Buglossoides_arvensis","scientific name",181181,"Buglossoides_arvensis","NA","239836075","379035632","601101183","24940195"
"170","Buglossoides_incrassata","Buglossoides_incrassata","Buglossoides_incrassata","scientific name",475886,"Buglossoides_incrassata","239836013","239836074","196051869","196051568","NA"
"171","Bunias_orientalis","Bunias_orientalis","Bunias_orientalis","scientific name",358661,"Bunias_orientalis","NA","313211284","817991744","257168004","NA"
"172","Bunium_bulbocastanum","Bunium_bulbocastanum","Bunium_bulbocastanum","scientific name",377473,"Bunium_bulbocastanum_var__peucedanoides","90654272","NA","NA","NA","NA"
"173","Bunium_bulbocastanum","Bunium_bulbocastanum","Bunium_bulbocastanum","scientific name",377473,"Bunium_bulbocastanum","NA","NA","733452123","NA","NA"
"174","Buphthalmum_salicifolium","Buphthalmum_salicifolium","Buphthalmum_salicifolium","scientific name",56523,"Buphthalmum_salicifolium","148578033","148578083","541049604","NA","NA"
"175","Bupleurum_falcatum","Bupleurum_falcatum","Bupleurum_falcatum","scientific name",46367,"Bupleurum_falcatum","45359826","319770892","387392531","387392388","NA"
"176","Bupleurum_ranunculoides","Bupleurum_ranunculoides","Bupleurum_ranunculoides","scientific name",52452,"Bupleurum_ranunculoides","33320373","NA","NA","NA","NA"
"177","Bupleurum_rotundifolium","Bupleurum_rotundifolium","Bupleurum_rotundifolium","scientific name",90446,"Bupleurum_rotundifolium","33320378","NA","NA","NA","NA"
"178","Bupleurum_stellatum","Bupleurum_stellatum","Bupleurum_stellatum","scientific name",199753,"Bupleurum_stellatum","33320391","NA","541049610","NA","NA"
"179","Buxus_sempervirens","Buxus_sempervirens","Buxus_sempervirens","scientific name",4002,"Buxus_sempervirens","13491864","34329990","81230666","33333425","5001578"
