"","pezalps.TNRS$phy$tip.label","rep(1, length(pezalps.TNRS$phy$tip.label))","Valid_LIB.C.150","endemic.TNRS","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"99","Asphodelus_albus",1,"Asphodelus_albus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Aster_alpinus",1,"Aster_alpinus","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"101","Astragalus_alpinus",1,"Astragalus_alpinus","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"102","Astragalus_australis",1,"Astragalus_australis","1",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"103","Astragalus_cicer",1,"Astragalus_cicer","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Astragalus_danicus",1,"Astragalus_danicus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","Astragalus_glycyphyllos",1,"Astragalus_glycyphyllos","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Astragalus_onobrychis",1,"Astragalus_onobrychis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Astragalus_vesicarius",1,"Astragalus_vesicarius","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Astrantia_major",1,"Astrantia_major_subsp._involucrata","0",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"109","Athamanta_cretensis",1,"Athamanta_cretensis","0",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"110","Atocion_rupestre",1,"Atocion_rupestre","0",1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"111","Atropa_belladonna",1,"Atropa_belladonna","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Barbarea_intermedia",1,"Barbarea_intermedia","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Barbarea_vulgaris",1,"Barbarea_vulgaris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Bartsia_alpina",1,"Bartsia_alpina","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"115","Bellardiochloa_variegata",1,"Bellardiochloa_variegata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","Bellidiastrum_michelii",1,"Bellidiastrum_michelii","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Berardia_subacaulis",1,"Berardia_lanuginosa","1",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"118","Berberis_vulgaris",1,"Berberis_vulgaris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Betonica_officinalis",1,"Betonica_officinalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
