"","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI","X","Valid_LIB.C.150","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"83","Saxifraga_retusa","Saxifraga","","retusa","subsp.    ","augustana","End.","W-Alp.",62,1,14,2,1120,"Saxifraga_retusa","",0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"84","Sempervivum_montanum","Sempervivum","","montanum","subsp.    ","stiriacum","End.","E-Alp.",61,2,5,3,1153,"Sempervivum_montanum","",0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1
"85","Senecio_incanus","Senecio","","incanus","subsp.    ","insubricus","End.","E-Alp.",124,48,2,3,663,"Jacobaea_leucophylla","",0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1
"86","Seseli_annuum","Seseli","","annuum","subsp.    ","carvifolium","End.?","W-Alp.",97,20,8,2,1161,"Seseli_annuum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Silene_vallesia","Silene","","vallesia","","","End.","W-Alp.",38,22,16,NA,1173,"Silene_vallesia","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Trifolium_saxatile","Trifolium","","saxatile","","","End.","W-Alp.",64,33,21,NA,1265,"Trifolium_saxatile","",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Veronica_allionii","Veronica","","allionii","","","End.","W-Alp.",114,17,14,NA,1301,"Veronica_allionii","",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"90","Veronica_chamaedrys","Veronica","","chamaedrys","subsp.    ","micans","End.?","E-Alp.",114,17,15,3,1309,"Veronica_chamaedrys","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Viola_calcarata","Viola","","calcarata","subsp.    ","villarsiana","End.","W-Alp.",49,1,27,3,1332,"Viola_calcarata","",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"92","Viola_calcarata","Viola","","calcarata","subsp.    ","calcarata","Subend.","W-Alp.",49,1,27,1,1332,"Viola_calcarata","",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
