"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1137","Reseda phyteuma","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1138","Rhamnus alpina","0","0",27,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1139","Rhamnus cathartica","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1140","Rhamnus pumila","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"1141","Rhamnus saxatilis","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1142","Rhaponticum NA","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1143","Rhinanthus alectorolophus","0","0",74,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1144","Rhinanthus glacialis","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1145","Rhinanthus minor","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1146","Rhinanthus NA","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1147","Rhynchopera paniculata","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1148","Ribes alpinum","0","0",13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1149","Ribes carpaticum","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1150","Ribes uva-crispa","0","0",22,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1151","Rorippa amphibia","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1152","Rorippa islandica","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1153","Rorippa NA","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1154","Rorippa sylvestris","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1155","Rosa agrestis","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1156","Rosa caesia","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1157","Rosa canina","0","0",66,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1158","Rosa dumalis","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1159","Rosa elliptica","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1160","Rosa ferruginea","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1161","Rosa micrantha","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1162","Rosa montana","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1163","Rosa NA","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1164","Rosa pendulina","0","0",76,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1165","Rosa rubiginosa","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
