Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Galium pseudohelveticum,Galium,,pseudohelveticum,,,End.,W-Alp.,119,4,35,
Galium saxosum,Galium,,saxosum,,,End.,W-Alp.,119,4,26,
Galium tendae,Galium,,tendae,,,End.,W-Alp.,119,4,39,
Galium truniacum,Galium,,truniacum,,,End.,E-Alp.,119,4,16,
Gentiana bavarica,Gentiana,,bavarica,,,End.,Alp.,98,4,21,
Gentiana engadinensis,Gentiana,,engadinensis,,,End.,E-Alp.,98,4,34,
Gentiana froelichii,Gentiana,,froelichii,subsp.    ,froelichii,End.,E-Alp.,98,4,9,1
Gentiana froelichii,Gentiana,,froelichii,subsp.    ,zenariae,End.,E-Alp.,98,4,9,2
Gentiana insubrica,Gentiana,,insubrica,,,End.,S-Alp.,98,4,37,
Gentiana ligustica,Gentiana,,ligustica,,,End.,W-Alp.,98,4,13,
Gentiana lutea,Gentiana,,lutea,subsp.    ,vardjanii,End.?,E-Alp.,98,4,1,3
Gentiana pilosa,Gentiana,,pilosa,,,Subend.,E-Alp.,98,4,33,
Gentiana pumila,Gentiana,,pumila,,,End.,E-Alp.,98,4,20,
Gentiana ramosa,Gentiana,,ramosa,,,End.,Alp.,98,4,32,
Gentiana rostanii,Gentiana,,rostanii,,,End.,W-Alp.,98,4,22,
Gentiana terglouensis,Gentiana,,terglouensis,,,End.,E-Alp.,98,4,23,
Gentiana villarsii,Gentiana,,villarsii,,,End.,W-Alp.,98,4,5,
Geranium rivulare,Geranium,,rivulare,,,Subend.,Alp.,93,1,6,
Gypsophila papillosa,Gypsophila,,papillosa,,,End.,E-Alp.,38,25,2,
Hedysarum boutignyanum,Hedysarum,,boutignyanum,,,End.,W-Alp.,64,41,4,
Hedysarum brigantiacum,Hedysarum,,brigantiacum,,,End.,W-Alp.,64,41,3,
Hedysarum hedysaroides,Hedysarum,,hedysaroides,subsp.    ,exaltatum,End.,E-Alp.,64,41,2,2
Helianthemum lunulatum,Helianthemum,,lunulatum,,,End.,W-Alp.,48,3,8,
