"","Valid_LIB.C.150","Alien_origin","ITS","trnTLF","rbcL","matK","atpB","Endemic","Ecrins.NP","Summits","Persistent","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"148","Astragalus_austriacus","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Astragalus_cicer","",429139010,667668263,667668060,700370121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150","Astragalus_danicus","",0,667668264,667668064,667667880,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Astragalus_depressus","",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152","Astragalus_glycyphyllos","",0,0,379033869,379039736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Astragalus_hypoglottis","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Astragalus_monspessulanus","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Astragalus_onobrychis","",0,0,0,577860087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Astragalus_penduliflorus","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Astragalus_sempervirens","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Astragalus_stella","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Astragalus_vesicarius","",284813091,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Astrantia_major_subsp._involucrata","",3075425,0,557836359,2281142,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"161","Athamanta_cretensis","",6648830,0,557836294,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"162","Athyrium_distentifolium","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Athyrium_filix-femina","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Atocion_armeria","",1403630,0,255755671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Atocion_rupestre","",211954114,148608542,541049878,156125859,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"166","Atropa_belladonna","",19743573,190614059,817991700,47057131,312369840,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Avenella_flexuosa","",37359492,37359559,379034233,110915937,110915587,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"168","Avenula_pubescens","",4185971,108863223,379032806,119553594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Barbarea_intermedia","",0,0,733452042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Barbarea_vulgaris","",6687078,27461488,379036052,12002334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Bartsia_alpina","",273464275,166204008,10441745,57229638,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"172","Bellardiochloa_variegata","",209887665,0,0,110915943,110915593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Bellidiastrum_michelii","",20136725,0,557836626,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Berardia_lanuginosa","",60614748,60202358,500049508,17220838,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"175","Berberis_vulgaris","",145025207,555685567,667668216,408004196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","Betonica_hirsuta","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Betonica_officinalis","",374674703,21070155,3355847,379040330,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Betula_pendula","",361071303,199600252,817991720,38532029,8452614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Betula_pubescens","",17065874,260079550,379036486,38532051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Biscutella_laevigata","",525672643,571272850,557836396,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Bistorta_officinalis","",284811032,156536638,379037536,8568054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Bistorta_vivipara","",87083868,156536624,557836549,218203578,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
"183","Blackstonia_perfoliata","",22034452,33308336,817991724,340512937,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","Blechnum_spicant","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Blitum_bonus-henricus","",0,371779508,379032420,8568064,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"186","Blysmus_compressus","",0,32968154,9663029,675440277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","Bombycilaena_erecta","",0,317438808,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Bothriochloa_ischaemum","",68164092,77166593,164565194,375493071,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Botrychium_lunaria","",0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"190","Brachypodium_pinnatum","",346642389,346642439,164565036,375493055,110915595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
