"","Row.names","Valid_LIB.C.150","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"194","Buglossoides_incrassata","Buglossoides_incrassata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Bunias_orientalis","Bunias_orientalis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Bunium_bulbocastanum","Bunium_bulbocastanum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Buphthalmum_salicifolium","Buphthalmum_salicifolium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","Bupleurum_falcatum","Bupleurum_falcatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Bupleurum_petraeum","Bupleurum_petraeum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","Bupleurum_ranunculoides","Bupleurum_ranunculoides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Bupleurum_rotundifolium","Bupleurum_rotundifolium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","Bupleurum_stellatum","Bupleurum_stellatum",1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
"203","Buxus_sempervirens","Buxus_sempervirens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","Cacalia_alliariae","Adenostyles_alliariae",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"205","Cacalia_alpina","Adenostyles_alpina",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"206","Cacalia_leucophylla","Adenostyles_leucophylla",1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1
"207","Calamagrostis_epigejos","Calamagrostis_epigejos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Calamagrostis_pseudophragmites","Calamagrostis_phragmitoides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Calamagrostis_schraderiana","Agrostis_schraderiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","Calamagrostis_varia","Calamagrostis_varia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Calamagrostis_villosa","Calamagrostis_villosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Calathiana_bavarica","Gentiana_bavarica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","Calathiana_brachyphylla","Gentiana_brachyphylla",1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"214","Calathiana_orbicularis","Gentiana_orbicularis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"215","Calathiana_verna","Gentiana_verna",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"216","Callianthemum_coriandrifolium","Callianthemum_coriandrifolium",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"217","Calluna_vulgaris","Calluna_vulgaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Caltha_palustris","Caltha_palustris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Calystegia_sepium","Convolvulus_sepium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Camelina_microcarpa","Camelina_microcarpa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Campanula_alpestris","Campanula_alpestris",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"222","Campanula_cenisia","Campanula_alpestris",1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
"223","Campanula_glomerata","Campanula_glomerata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Campanula_latifolia","Campanula_latifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","Campanula_linifolia","Campanula_stenocodon",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
"226","Campanula_patula","Campanula_patula",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Campanula_persicifolia","Campanula_persicifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Campanula_rapunculoides","Campanula_rapunculoides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Campanula_rhomboidalis","Campanula_rhomboidalis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"230","Campanula_rotundifolia","Campanula_rotundifolia",1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
"231","Campanula_spicata","Campanula_glomerata_subsp._glomerata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232","Campanula_trachelium","Campanula_trachelium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","Capsella_bursa_pastoris","Capsella_bursa-pastoris",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"234","Cardamine_alpina","Cardamine_alpina",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"235","Cardamine_bellidifolia","Arabis_scabra",1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"236","Cardamine_heptaphylla","Cardamine_heptaphylla",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","Cardamine_hirsuta","Cardamine_flexuosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Cardamine_impatiens","Cardamine_impatiens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","Cardamine_pentaphyllos","Cardamine_pentaphyllos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240","Cardamine_resedifolia","Cardamine_resedifolia",1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0
"241","Carduus_acanthoides","Carduus_tenuiflorus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Carduus_carlinifolius","Carduus_defloratus_subsp._carlinifolius",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"243","Carduus_defloratus","Carduus_defloratus",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"244","Carduus_medius","Carduus_defloratus_subsp._medius",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"245","Carduus_nutans","Carduus_nutans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","Carduus_personata","Carduus_personata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","Carex_acutiformis","Carex_hispida",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","Carex_alba","Carex_alba",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249","Carex_atrata","Carex_atrata",1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
"250","Carex_bicolor","Carex_bicolor",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"251","Carex_capillaris","Carex_sylvatica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252","Carex_caryophyllea","Carex_montana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253","Carex_cespitosa","Carex_nigra",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254","Carex_chillanensis","Carex_nigra",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
