,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
Rouies-Lauvitel,0.262059099,0.035290991,0.226768108,0.415288157,0.068175983,0.347112174,-2.22870177,-1.51599639,-0.869256212,-2.328063924,-1.581696924,-0.170783009
Olan-Pelvoux,0.418949595,0.146460215,0.27248938,0.590506663,0.255499865,0.335006798,-1.665648929,1.019508133,-2.585098535,-1.713363636,1.056677502,-2.175513783
Olan-Occidentale Ailefroide,0.381774989,0.115818095,0.265956894,0.552586335,0.207593147,0.344993188,-0.387424933,-1.595393556,1.610880416,-0.362582796,-1.690307874,1.879234819
Olan-Brevoort,0.529081663,0.000879031,0.528202632,0.692025385,0.001756518,0.690268867,-0.232242893,-1.12131207,0.569311953,-0.209272157,-1.177427651,1.016577159
Olan-Burlan,0.374686864,0.155749073,0.218937791,0.545123219,0.269520567,0.275602652,0.045621342,-1.148189727,1.527503946,0.072558627,-1.176651477,1.613355583
Olan-Rocher de la Selle,0.237733458,0.045574559,0.192158899,0.38414322,0.087176106,0.296967114,-2.844245731,-0.997479839,-1.856947738,-3.0027545,-1.018273527,-1.284710244
Olan-Choisy,0.442238141,0.00070014,0.441538001,0.613266462,0.001399301,0.611867161,0.526305058,-1.109818256,1.122904316,0.545881424,-1.153478714,1.383643864
Olan-Muraillette,0.306959419,0.224194413,0.082765006,0.469730605,0.366272564,0.103458041,-0.754423402,-2.497442579,3.76336937,-0.741178284,-2.633287484,4.140537164
Olan-Rateau,0.265343788,0.21627981,0.049063978,0.41940189,0.355641536,0.063760354,-1.664011912,0.392709651,-2.239728944,-1.70942886,0.423378775,-2.079266801
Olan-Lauvitel,0.228902821,0.215866254,0.013036567,0.372532013,0.355082236,0.017449777,-1.787934222,1.360551315,-3.377919348,-1.83822508,1.353054017,-3.275508745
Pelvoux-Occidentale Ailefroide,0.478845805,0.467986312,0.010859492,0.647593959,0.637589477,0.010004482,-0.921709134,0.803885869,-2.748550105,-0.910429201,0.819552863,-2.465116879
Pelvoux-Brevoort,0.497615628,0.328414543,0.169201085,0.66454385,0.494445871,0.170097979,0.326390757,-1.010927993,2.376648214,0.358574082,-0.999453701,2.300466137
Pelvoux-Burlan,0.488233412,0.452464707,0.035768704,0.656124782,0.623030226,0.033094556,-0.168583775,1.81969371,-3.016059194,-0.137503283,1.732189264,-2.725892162
Pelvoux-Rocher de la Selle,0.559928027,0.138564399,0.421363627,0.717889565,0.243401953,0.474487612,-2.634893265,3.386121327,-4.978280359,-2.731002332,3.289586309,-4.499237953
Pelvoux-Choisy,0.473713844,0.386086942,0.087626902,0.642884432,0.557089069,0.085795363,0.259116299,-0.82281922,2.75712608,0.292072544,-0.805572722,2.788954033
Pelvoux-Muraillette,0.595099983,0.480858579,0.114241404,0.746160102,0.649432142,0.09672796,-0.184658483,2.481119275,-3.804576528,-0.159492569,2.269236319,-3.135930207
Pelvoux-Rateau,0.500662184,0.201866497,0.298795688,0.667255015,0.335921664,0.331333351,-2.855282909,1.613995203,-3.921404104,-3.000360326,1.596095922,-2.964738129
Pelvoux-Lauvitel,0.577928709,0.366165647,0.211763062,0.732515614,0.536048682,0.196466933,-0.527490154,4.11942405,-5.286711313,-0.510762936,3.612869892,-4.397397
Occidentale Ailefroide-Brevoort,0.387621127,0.16001866,0.227602467,0.558684384,0.275889804,0.28279458,-1.422002173,-0.778151053,-0.424781087,-1.444155257,-0.766376655,-0.023947809
Occidentale Ailefroide-Burlan,0.298730845,0.265706223,0.033024622,0.460035035,0.419854494,0.040180541,-0.396494878,-0.236040739,-0.19844084,-0.369172281,-0.200467131,-0.185126822
Occidentale Ailefroide-Rocher de la Selle,0.489682928,0.030817261,0.458865666,0.657432422,0.0597919,0.597640522,-0.56122038,-0.614987618,-0.079113056,-0.545718083,-0.616336892,0.260315674
Occidentale Ailefroide-Choisy,0.330401966,0.200314638,0.130087328,0.496694946,0.333770216,0.162924729,-2.015180193,-1.70396385,0.171805731,-2.111835262,-1.806994361,0.612965921
Occidentale Ailefroide-Muraillette,0.332035535,0.164473001,0.167562534,0.498538554,0.282484868,0.216053686,-0.675182474,0.366894775,-1.100031467,-0.659019363,0.405517877,-1.017462734
Occidentale Ailefroide-Rateau,0.416539998,0.093046263,0.323493734,0.588109052,0.170251281,0.417857771,-0.460968059,0.30777937,-0.7004999,-0.440946985,0.343879635,-0.651329595
Occidentale Ailefroide-Lauvitel,0.372115804,0.082254937,0.289860867,0.542397082,0.152006583,0.390390499,-1.750320285,-0.406719336,-1.228687634,-1.795913227,-0.391051445,-0.736182513
Brevoort-Burlan,0.38763106,0.109757751,0.277873309,0.558694701,0.197804883,0.360889818,-1.572818611,-0.876145822,-0.388739999,-1.616549032,-0.889371895,0.105558831
Brevoort-Rocher de la Selle,0.659776049,0,0.659776049,0.795018158,0,0.795018158,-1.216025031,NA,-1.216025031,-1.22005923,NA,-1.22005923
Brevoort-Choisy,0.113281432,0,0.113281432,0.203509066,0,0.203509066,-0.934559663,NA,-0.934559663,-0.94560984,NA,-0.94560984
Brevoort-Muraillette,0.466456699,0.03482262,0.431634079,0.63616839,0.067301621,0.56886677,-2.635553673,-1.219142452,-0.743395759,-2.784282231,-1.297282265,0.283391922
Brevoort-Rateau,0.583714504,0.026621856,0.557092649,0.737146124,0.051863021,0.685283103,-1.778608021,-0.702765344,-0.76639618,-1.81592158,-0.72024827,0.034577174
Brevoort-Lauvitel,0.543704897,0.006884435,0.536820462,0.704415589,0.013674727,0.690740862,-2.523330537,-0.739583628,-1.703116379,-2.629356938,-0.772136337,-0.552191663
